,ID,count,lat,long,ilon,ilat
879,77118,10588,-34.5249979046,-71.0250007765,119,449
880,77119,2955,-34.5249979169,-70.975000891,120,449
881,77121,3291,-34.5249979065,-70.8750010911,122,449
882,77122,9448,-34.5249979109,-70.8250011819,123,449
883,77123,10424,-34.5249979241,-70.7750012797,124,449
884,77124,9546,-34.5249979354,-70.7250013844,125,449
885,77125,8306,-34.524997921,-70.6750015074,126,449
886,77126,9238,-34.5249979104,-70.6250016484,127,449
887,77127,387,-34.5249979257,-70.5750017073,128,449
888,77318,130,-34.5750000596,-72.0249988458,99,448
889,77319,205,-34.5750000553,-71.9749989129,100,448
890,77320,190,-34.5750000296,-71.9249989948,101,448
891,77321,310,-34.5750000427,-71.874999092,102,448
892,77322,607,-34.5750000457,-71.8249992075,103,448
893,77323,425,-34.575000051,-71.7749993102,104,448
894,77324,116,-34.5750000707,-71.7249993958,105,448
895,77326,294,-34.5750000656,-71.6249995982,107,448
896,77327,1106,-34.5750000513,-71.5749997306,108,448
897,77328,408,-34.5750000443,-71.5249998121,109,448
898,77329,1431,-34.5750000499,-71.4749999078,110,448
899,77330,2031,-34.5750000387,-71.4250000126,111,448
900,77332,4661,-34.5750000179,-71.325000193,113,448
901,77333,11479,-34.5750000171,-71.2750002828,114,448
902,77334,9652,-34.5750000171,-71.2250003829,115,448
903,77335,11466,-34.5750000288,-71.1750004878,116,448
904,77336,13900,-34.5750000495,-71.1250006166,117,448
905,77337,12040,-34.5750000622,-71.0750006976,118,448
906,77338,6141,-34.5750000435,-71.02500077,119,448
907,77341,9822,-34.5750000279,-70.8750010981,122,448
908,77342,17685,-34.5750000488,-70.8250011754,123,448
909,77343,14107,-34.5750000491,-70.7750012868,124,448
910,77344,5809,-34.5750000383,-70.7250013847,125,448
911,77345,1026,-34.5750000331,-70.6750015077,126,448
912,77346,728,-34.5750000428,-70.6250016351,127,448
913,77347,152,-34.5750000489,-70.5750017211,128,448
914,77538,359,-34.6250021923,-72.024998846,99,447
915,77539,569,-34.6250022021,-71.9749989199,100,447
916,77540,680,-34.6250021818,-71.9249989881,101,447
917,77541,144,-34.6250021713,-71.8749990989,102,447
918,77544,373,-34.6250021789,-71.724999396,105,447
919,77545,1140,-34.6250021737,-71.6749994784,106,447
920,77546,991,-34.6250021916,-71.6249995983,107,447
921,77547,2764,-34.6250021833,-71.5749997308,108,447
922,77548,2135,-34.6250021735,-71.5249998054,109,447
923,77549,4070,-34.6250021879,-71.4749999079,110,447
924,77550,999,-34.6250021767,-71.4250000128,111,447
925,77552,2611,-34.6250021699,-71.3250002,113,447
926,77553,1480,-34.6250021628,-71.2750002761,114,447
927,77554,8700,-34.6250021679,-71.2250003898,115,447
928,77555,7960,-34.6250021757,-71.175000488,116,447
929,77556,1227,-34.6250021836,-71.1250006167,117,447
930,77558,1170,-34.6250021859,-71.0250007702,119,447
931,77561,5918,-34.6250021655,-70.8750011051,122,447
932,77562,18424,-34.6250021598,-70.8250011823,123,447
933,77563,17367,-34.6250021649,-70.7750012733,124,447
934,77564,7085,-34.6250021496,-70.7250013849,125,447
935,77565,155,-34.6250021512,-70.6750015079,126,447
936,77758,148,-34.6750020815,-72.024998853,99,446
937,77759,1019,-34.6750020829,-71.9749989133,100,446
938,77760,197,-34.6750020865,-71.9249989883,101,446
939,77761,182,-34.6750020709,-71.8749990923,102,446
940,77764,672,-34.675002052,-71.7249993962,105,446
941,77765,1722,-34.6750020479,-71.6749994854,106,446
942,77766,2457,-34.6750020785,-71.6249995985,107,446
943,77767,6838,-34.6750020944,-71.5749997242,108,446
944,77768,4279,-34.6750020798,-71.5249998192,109,446
945,77769,2841,-34.6750020805,-71.4749999081,110,446
946,77770,2353,-34.6750020876,-71.4250000062,111,446
947,77775,1225,-34.6750020649,-71.1750004882,116,446
948,77776,3302,-34.6750020782,-71.1250006102,117,446
949,77777,1693,-34.6750020857,-71.0750007047,118,446
950,77781,228,-34.6750020733,-70.8750010849,122,446
951,77782,3029,-34.6750020592,-70.8250011825,123,446
952,77783,5785,-34.675002067,-70.7750012803,124,446
953,77977,603,-34.7250019645,-72.0749987071,98,445
954,77978,1557,-34.7250019673,-72.0249988396,99,445
955,77979,313,-34.7250019782,-71.9749989203,100,445
956,77982,317,-34.7250019617,-71.824999208,103,445
957,77986,1127,-34.7250019829,-71.6249996055,107,445
958,77987,2142,-34.7250020002,-71.5749997312,108,445
959,77988,6442,-34.7250019783,-71.5249998058,109,445
960,77989,3523,-34.7250019629,-71.4749999083,110,445
961,77990,2001,-34.7250019856,-71.4250000132,111,445
962,77991,2312,-34.7250019966,-71.375000095,112,445
963,77992,2331,-34.7250019733,-71.3250001936,113,445
964,77995,1813,-34.7250019692,-71.1750004884,116,445
965,77996,7448,-34.7250019854,-71.1250006172,117,445
966,78000,4532,-34.7250019815,-70.9250010034,121,445
967,78001,4880,-34.7250019809,-70.8750011055,122,445
968,78002,7439,-34.725001976,-70.825001176,123,445
969,78003,7724,-34.7250019839,-70.7750012806,124,445
970,78004,3032,-34.7250019936,-70.7250013785,125,445
971,78196,343,-34.7750018659,-72.1249985964,97,444
972,78197,1445,-34.7750018633,-72.0749987005,98,444
973,78198,461,-34.7750018817,-72.0249988466,99,444
974,78199,1009,-34.7750018997,-71.9749989205,100,444
975,78201,376,-34.7750018696,-71.8749990995,102,444
976,78205,2755,-34.7750018679,-71.6749994858,106,444
977,78206,8561,-34.7750018756,-71.6249995989,107,444
978,78207,2774,-34.7750018919,-71.5749997246,108,444
979,78208,1990,-34.7750018804,-71.5249998128,109,444
980,78209,3966,-34.7750018667,-71.4749999085,110,444
981,78210,2401,-34.7750018823,-71.4250000134,111,444
982,78211,1622,-34.7750018976,-71.3750000952,112,444
983,78212,422,-34.77500189,-71.3250001938,113,444
984,78215,907,-34.7750018797,-71.1750004886,116,444
985,78216,128,-34.7750018758,-71.1250006174,117,444
986,78220,3724,-34.7750018841,-70.9250010104,121,444
987,78222,1588,-34.7750018605,-70.8250011762,123,444
988,78223,5296,-34.7750018658,-70.7750012875,124,444
989,78224,250,-34.7750018841,-70.7250013788,125,444
990,78416,1746,-34.8250017855,-72.1249985966,97,443
991,78417,505,-34.8250017842,-72.0749987007,98,443
992,78418,447,-34.8250017954,-72.0249988536,99,443
993,78419,403,-34.8250017977,-71.9749989139,100,443
994,78420,232,-34.8250017968,-71.9249989889,101,443
995,78421,684,-34.8250017714,-71.8749990929,102,443
996,78425,2139,-34.8250017551,-71.6749994792,106,443
997,78426,1617,-34.8250017679,-71.6249995991,107,443
998,78427,4174,-34.8250017805,-71.5749997384,108,443
999,78428,7375,-34.825001777,-71.5249997995,109,443
1000,78429,4278,-34.8250017624,-71.4749999155,110,443
1001,78430,2032,-34.8250017683,-71.4250000068,111,443
1002,78431,1056,-34.8250017854,-71.3750001022,112,443
1003,78434,640,-34.8250017776,-71.2250003907,115,443
1004,78438,129,-34.825001748,-71.025000771,119,443
1005,78439,721,-34.8250017635,-70.9750008923,120,443
1006,78440,13533,-34.8250017704,-70.9250010173,121,443
1007,78636,1349,-34.8750016798,-72.12499859,97,442
1008,78637,1772,-34.8750016773,-72.0749987077,98,442
1009,78638,2337,-34.8750016788,-72.0249988402,99,442
1010,78639,739,-34.8750016832,-71.9749989209,100,442
1011,78640,485,-34.8750016962,-71.9249989891,101,442
1012,78641,491,-34.875001676,-71.8749990931,102,442
1013,78645,717,-34.8750016553,-71.6749994862,106,442
1014,78646,2129,-34.8750016707,-71.6249995994,107,442
1015,78647,2646,-34.8750016772,-71.5749997251,108,442
1016,78648,3009,-34.875001679,-71.5249998133,109,442
1017,78649,1820,-34.8750016813,-71.4749999022,110,442
1018,78650,2547,-34.8750016748,-71.4250000206,111,442
1019,78651,124,-34.8750016707,-71.3750000956,112,442
1020,78654,184,-34.8750016679,-71.2250003774,115,442
1021,78658,227,-34.8750016613,-71.0250007645,119,442
1022,78659,4244,-34.8750016853,-70.9750008993,120,442
1023,78660,3962,-34.8750016712,-70.9250010108,121,442
1024,78855,962,-34.9250015693,-72.1749985382,96,441
1025,78856,1937,-34.9250015599,-72.124998597,97,441
1026,78857,3124,-34.9250015537,-72.0749987011,98,441
1027,78858,6793,-34.9250015633,-72.0249988472,99,441
1028,78859,3607,-34.9250015672,-71.9749989211,100,441
1029,78860,528,-34.9250015712,-71.9249989893,101,441
1030,78861,526,-34.9250015741,-71.8749990866,102,441
1031,78862,328,-34.9250015678,-71.8249992157,103,441
1032,78863,309,-34.9250015643,-71.7749993048,104,441
1033,78864,1121,-34.9250015551,-71.7249993972,105,441
1034,78865,113,-34.9250015591,-71.6749994796,106,441
1035,78866,321,-34.9250015744,-71.6249995996,107,441
1036,78868,152,-34.9250015766,-71.5249998135,109,441
1037,78869,3007,-34.9250015729,-71.4749999092,110,441
1038,78870,2141,-34.9250015718,-71.4250000073,111,441
1039,78871,976,-34.9250015643,-71.3750000958,112,441
1040,78872,263,-34.9250015681,-71.3250002012,113,441
1041,78879,9752,-34.9250015737,-70.9750008927,120,441
1042,78880,1439,-34.9250015766,-70.9250010043,121,441
1043,79075,699,-34.9750014842,-72.1749985317,96,440
1044,79076,867,-34.975001477,-72.1249985972,97,440
1045,79077,5670,-34.9750014645,-72.0749987013,98,440
1046,79078,8447,-34.9750014797,-72.0249988474,99,440
1047,79079,5997,-34.9750014806,-71.9749989146,100,440
1048,79080,1839,-34.975001473,-71.9249989963,101,440
1049,79081,1332,-34.975001476,-71.8749990935,102,440
1050,79082,990,-34.9750014613,-71.8249992023,103,440
1051,79083,1286,-34.975001461,-71.7749993118,104,440
1052,79084,1145,-34.9750014666,-71.7249993975,105,440
1053,79085,479,-34.9750014563,-71.6749994866,106,440
1054,79087,1733,-34.975001496,-71.5749997255,108,440
1055,79088,1746,-34.9750014803,-71.5249998069,109,440
1056,79089,2707,-34.9750014678,-71.4749999094,110,440
1057,79090,1839,-34.9750014696,-71.4250000143,111,440
