,0
608,1021
609,1022
610,1023
611,1024
612,1025
613,1026
614,1027
615,1028
616,1029
617,1030
618,1031
619,1032
620,1033
621,1034
622,1035
623,1036
624,1037
625,1038
626,1039
627,1040
628,1041
629,1042
630,1043
631,1044
632,1045
633,1046
634,1047
635,1048
636,1049
637,1050
638,1051
639,1052
640,1053
641,1054
642,1055
643,1056
644,1057
645,1058
646,1059
647,1060
648,1061
649,1062
650,1063
651,1064
652,1065
653,1066
654,1067
655,1068
656,1069
657,1070
658,1071
659,1072
660,1073
661,1074
662,1075
663,1076
664,1077
665,1078
666,1079
667,1080
668,1081
669,1082
670,1083
671,1084
672,1085
673,1086
674,1087
675,1088
676,1089
677,1090
678,1091
679,1092
680,1093
681,1094
682,1095
683,1096
684,1097
